0.4	2.08125
0.401	2.080845268
0.402	2.080443553
0.403	2.080044825
0.404	2.079649054
0.405	2.079256211
0.406	2.078866267
0.407	2.078479194
0.408	2.078094963
0.409	2.077713548
0.41	2.07733492
0.411	2.076959052
0.412	2.076585918
0.413	2.076215491
0.414	2.075847744
0.415	2.075482654
0.416	2.075120192
0.417	2.074760336
0.418	2.074403059
0.419	2.074048336
0.42	2.073696145
0.421	2.07334646
0.422	2.072999259
0.423	2.072654517
0.424	2.072312211
0.425	2.071972318
0.426	2.071634817
0.427	2.071299684
0.428	2.070966897
0.429	2.070636434
0.43	2.070308275
0.431	2.069982397
0.432	2.069658779
0.433	2.069337401
0.434	2.069018242
0.435	2.068701282
0.436	2.068386499
0.437	2.068073876
0.438	2.067763391
0.439	2.067455026
0.44	2.06714876
0.441	2.066844576
0.442	2.066542454
0.443	2.066242376
0.444	2.065944323
0.445	2.065648277
0.446	2.06535422
0.447	2.065062134
0.448	2.064772003
0.449	2.064483807
0.45	2.064197531
0.451	2.063913157
0.452	2.063630668
0.453	2.063350048
0.454	2.06307128
0.455	2.062794349
0.456	2.062519237
0.457	2.062245929
0.458	2.061974409
0.459	2.061704662
0.46	2.061436673
0.461	2.061170426
0.462	2.060905905
0.463	2.060643097
0.464	2.060381986
0.465	2.060122558
0.466	2.059864798
0.467	2.059608692
0.468	2.059354226
0.469	2.059101386
0.47	2.058850158
0.471	2.058600529
0.472	2.058352485
0.473	2.058106012
0.474	2.057861098
0.475	2.057617729
0.476	2.057375892
0.477	2.057135574
0.478	2.056896763
0.479	2.056659446
0.48	2.056423611
0.481	2.056189245
0.482	2.055956337
0.483	2.055724873
0.484	2.055494843
0.485	2.055266234
0.486	2.055039035
0.487	2.054813234
0.488	2.05458882
0.489	2.054365781
0.49	2.054144107
0.491	2.053923785
0.492	2.053704805
0.493	2.053487157
0.494	2.053270829
0.495	2.053055811
0.496	2.052842092
0.497	2.052629661
0.498	2.052418509
0.499	2.052208626
0.5	2.052
0.501	2.051792622
0.502	2.051586483
0.503	2.051381571
0.504	2.051177879
0.505	2.050975395
0.506	2.05077411
0.507	2.050574015
0.508	2.050375101
0.509	2.050177358
0.51	2.049980777
0.511	2.049785349
0.512	2.049591064
0.513	2.049397915
0.514	2.049205893
0.515	2.049014987
0.516	2.048825191
0.517	2.048636495
0.518	2.04844889
0.519	2.048262369
0.52	2.048076923
0.521	2.047892544
0.522	2.047709223
0.523	2.047526953
0.524	2.047345726
0.525	2.047165533
0.526	2.046986367
0.527	2.04680822
0.528	2.046631084
0.529	2.046454951
0.53	2.046279815
0.531	2.046105667
0.532	2.0459325
0.533	2.045760308
0.534	2.045589081
0.535	2.045418814
0.536	2.045249499
0.537	2.045081129
0.538	2.044913697
0.539	2.044747196
0.54	2.044581619
0.541	2.044416959
0.542	2.04425321
0.543	2.044090365
0.544	2.043928417
0.545	2.04376736
0.546	2.043607186
0.547	2.043447891
0.548	2.043289467
0.549	2.043131907
0.55	2.042975207
0.551	2.042819358
0.552	2.042664356
0.553	2.042510194
0.554	2.042356866
